Tanzania	246
Bolivia	241
Cape Verde	240
Belarus	238
Algeria	233
Dominican Republic	233
Singapore	233
Egypt	231
Hungary	227
Malta	227
Turkey	226
Cameroon	225
Denmark	225
Falkland Islands	225
Guadeloupe	225
Marshall Islands	225
Åland Islands	225
Estonia	224
Niue	224
Suriname	224
Libya	223
French Southern Territories	221
Armenia	220
Palestine State of	220
Tuvalu	220
Equatorial Guinea	219
Fiji	219
Indonesia	219
China	218
Rwanda	218
Zimbabwe	217
Bangladesh	216
Congo the Democratic Republic of the	216
Jersey	216
Macao	216
Poland	216
Malawi	215
Martinique	215
Uruguay	215
Guernsey	214
Heard Island and Mcdonald Islands	214
Israel	214
Kenya	214
Uganda	214
Mali	213
New Caledonia	213
Romania	213
Saint Barthélemy	213
Uzbekistan	213
Benin	212
Cocos (Keeling) Islands	212
Eritrea	212
Haiti	212
Venezuela	212
Congo (Brazzaville)	211
Mexico	211
Netherlands	211
Saint Pierre and Miquelon	211
Serbia	211
Aruba	210
Curaçao	210
Guinea-Bissau	210
Jamaica	210
Malaysia	210
British Indian Ocean Territory	209
Lesotho	209
Monaco	209
Nigeria	209
Saint Lucia	209
Sao Tome and Principe	209
Afghanistan	208
Albania	208
Antarctica	208
Dominica	208
Ecuador	208
Mayotte	208
Saint Helena Ascension and Tristan da Cunha	208
Guinea	207
South Sudan	207
Brazil	206
Cook Islands	206
Isle of Man	206
Latvia	206
Luxembourg	206
Maldives	206
Niger	206
Pakistan	206
Costa Rica	205
Hong Kong	205
Iceland	205
Kazakhstan	205
Laos	205
Macedonia	205
Sierra Leone	205
Syria	205
American Samoa	204
Croatia	204
France	204
Moldova	204
Pitcairn Islands	204
Tokelau	204
Antigua and Barbuda	203
Djibouti	203
New Zealand	203
Norway	203
Peru	203
Puerto Rico	203
Timor-Leste	203
Turks and Caicos Islands	203
Azerbaijan	202
Brunei	202
Georgia	202
Montenegro	202
Namibia	202
Papua New Guinea	202
Saint Martin	202
San Marino	202
Tonga	202
Argentina	201
Cayman Islands	201
Côte D'Ivoire (Ivory Coast)	201
Senegal	201
Sudan	201
Togo	201
Trinidad and Tobago	201
United States	201
Bahamas	200
Holy See (Vatican City State)	200
Iraq	200
Japan	200
Korea North	200
Samoa	200
Viet Nam	200
Barbados	199
Bermuda	199
Central African Republic	199
Morocco	199
Sint Maarten	199
Christmas Island	198
French Polynesia	198
Madagascar	198
Northern Mariana Islands	198
Russian Federation	198
United Arab Emirates	198
Gibraltar	197
Mauritania	197
Mauritius	197
Portugal	197
Saint Vincent and The Grenadines	197
Solomon Islands	197
South Africa	197
Bonaire Sint Eustatius and Saba	196
Cambodia	196
Gabon	196
Germany	196
Nauru	196
Oman	196
Slovenia	196
South Georgia and The South Sandwich Islands	196
Vanuatu	196
Canada	195
Comoros	195
Cuba	195
Lithuania	195
Saint Kitts and Nevis	195
Seychelles	195
Swaziland	195
Belize	194
Botswana	194
Bouvet Island	194
Burkina Faso	194
Guyana	194
Liechtenstein	194
Mozambique	194
Virgin Islands United States	194
Czech Republic	193
French Guiana	193
Guam	193
Qatar	193
Switzerland	193
Bhutan	192
Greenland	192
Philippines	192
Bulgaria	191
El Salvador	191
Ghana	191
Grenada	191
Kuwait	191
Nicaragua	191
Reunion	191
Wallis and Futuna	191
Angola	190
Belgium	190
Bosnia and Herzegovina	189
Faroe Islands	189
Ireland	189
Kyrgyzstan	189
Liberia	189
Slovakia	189
United States Minor Outlying Islands	189
Colombia	188
Iran	188
Tajikistan	188
Thailand	188
Ethiopia	187
India	187
Western Sahara	187
Gambia	186
Burundi	185
Chad	185
Honduras	185
Korea South	185
Lebanon	185
Nepal	185
Panama	185
Anguilla	184
Bahrain	184
Greece	184
Guatemala	184
Kiribati	184
Yemen	184
Austria	183
Finland	183
Spain	183
Sri Lanka	183
Sweden	183
Australia	182
Italy	182
Jordan	181
Paraguay	181
Taiwan	181
Mongolia	180
Myanmar	180
Norfolk Island	179
Svalbard and Jan Mayen Islands	179
Tunisia	179
Andorra	178
Palau	178
Micronesia	177
Turkmenistan	177
Chile	175
Somalia	174
United Kingdom (Great Britain)	173
Cyprus	172
Ukraine	171
Zambia	171
Saudi Arabia	170
Montserrat	167
Virgin Islands British	163
